Response,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max
FTL,Formulation x Plasticizer,E_Gliserol,3,4.566666666666667,0.1040832999733078,0.0600925212577338,4.449999999999998,4.649999999999999
FTL,Formulation x Plasticizer,E_Sorbitol,3,9.05,0.2291287847477836,0.1322875655532246,8.800000000000008,9.249999999999991
FTL,Formulation x Plasticizer,F_Gliserol,3,9.911111111111106,0.1347150628109129,0.0777777777777779,9.766666666666664,10.033333333333331
FTL,Formulation x Plasticizer,F_Sorbitol,3,8.899999999999999,0.0577350269189582,0.0333333333333308,8.833333333333337,8.933333333333334
FTL,Formulation x Plasticizer,G_Gliserol,3,5.466666666666666,0.0288675134594764,0.0166666666666638,5.449999999999999,5.499999999999994
FTL,Formulation x Plasticizer,G_Sorbitol,3,3.7500000000000018,0.0901387818865983,0.0520416499866525,3.650000000000003,3.8250000000000006
FTL,Formulation x Plasticizer,H_Gliserol,3,2.3333333333333326,0.0503322295684728,0.0290593262902718,2.2799999999999976,2.38
FTL,Formulation x Plasticizer,H_Sorbitol,3,2.8600000000000017,0.0399999999999977,0.0230940107675837,2.8200000000000047,2.9000000000000004
FTL,Formulation x Plasticizer,I_Gliserol,3,13.188888888888888,0.0769800358919485,0.0444444444444435,13.1,13.233333333333333
FTL,Formulation x Plasticizer,I_Sorbitol,3,13.766666666666666,0.0333333333333363,0.0192450089729892,13.73333333333333,13.800000000000004
FTL,Formulation x Plasticizer,J_Gliserol,3,8.350000000000001,0.0661437827766172,0.0381881307913,8.274999999999999,8.400000000000002
FTL,Formulation x Plasticizer,J_Sorbitol,3,9.916666666666664,0.0577350269189608,0.0333333333333323,9.849999999999998,9.949999999999998
FTL,Formulation x Plasticizer,K_Gliserol,3,3.680000000000002,0.0916515138991134,0.0529150262212898,3.5800000000000054,3.759999999999999
FTL,Formulation x Plasticizer,K_Sorbitol,3,4.006666666666663,0.0230940107675849,0.0133333333333332,3.979999999999997,4.019999999999997
FTL,Formulation x Plasticizer,L_Gliserol,3,2.2611111111111115,0.0481125224324652,0.0277777777777757,2.2333333333333356,2.316666666666663
FTL,Formulation x Plasticizer,L_Sorbitol,3,3.4166666666666665,0.1040832999733045,0.0600925212577319,3.300000000000003,3.4999999999999996
FTL,CMC x PVA x Plasticizer,1.0_0.0_Gliserol,3,14.333333333333348,0.4041451884327357,0.233333333333332,13.900000000000023,14.700000000000024
FTL,CMC x PVA x Plasticizer,1.0_0.0_Sorbitol,3,14.966666666666654,0.1527525231652103,0.0881917103688287,14.799999999999969,15.1
FTL,CMC x PVA x Plasticizer,1.0_1.0_Gliserol,3,8.166666666666666,0.1527525231651958,0.0881917103688203,7.9999999999999964,8.299999999999997
FTL,CMC x PVA x Plasticizer,1.0_1.0_Sorbitol,3,6.183333333333333,0.2081665999466135,0.1201850425154665,5.949999999999999,6.35
FTL,CMC x PVA x Plasticizer,1.0_2.0_Gliserol,3,4.888888888888886,0.0838870492807881,0.0484322104837864,4.799999999999996,4.966666666666667
FTL,CMC x PVA x Plasticizer,1.0_2.0_Sorbitol,3,2.7555555555555578,0.0838870492807876,0.0484322104837861,2.6666666666666687,2.8333333333333393
FTL,CMC x PVA x Plasticizer,1.0_3.0_Gliserol,3,2.241666666666666,0.0721687836487032,0.0416666666666667,2.1999999999999966,2.3249999999999993
FTL,CMC x PVA x Plasticizer,1.0_3.0_Sorbitol,3,2.975,0.0249999999999972,0.014433756729739,2.950000000000003,2.9999999999999973
FTL,CMC x PVA x Plasticizer,2.0_0.0_Gliserol,3,4.566666666666667,0.1040832999733078,0.0600925212577338,4.449999999999998,4.649999999999999
FTL,CMC x PVA x Plasticizer,2.0_0.0_Sorbitol,3,9.05,0.2291287847477836,0.1322875655532246,8.800000000000008,9.249999999999991
FTL,CMC x PVA x Plasticizer,2.0_1.0_Gliserol,3,9.911111111111106,0.1347150628109129,0.0777777777777779,9.766666666666664,10.033333333333331
FTL,CMC x PVA x Plasticizer,2.0_1.0_Sorbitol,3,8.899999999999999,0.0577350269189582,0.0333333333333308,8.833333333333337,8.933333333333334
FTL,CMC x PVA x Plasticizer,2.0_2.0_Gliserol,3,5.466666666666666,0.0288675134594764,0.0166666666666638,5.449999999999999,5.499999999999994
FTL,CMC x PVA x Plasticizer,2.0_2.0_Sorbitol,3,3.7500000000000018,0.0901387818865983,0.0520416499866525,3.650000000000003,3.8250000000000006
FTL,CMC x PVA x Plasticizer,2.0_3.0_Gliserol,3,2.3333333333333326,0.0503322295684728,0.0290593262902718,2.2799999999999976,2.38
FTL,CMC x PVA x Plasticizer,2.0_3.0_Sorbitol,3,2.8600000000000017,0.0399999999999977,0.0230940107675837,2.8200000000000047,2.9000000000000004
FTL,CMC x PVA x Plasticizer,3.0_0.0_Gliserol,3,13.188888888888888,0.0769800358919485,0.0444444444444435,13.1,13.233333333333333
FTL,CMC x PVA x Plasticizer,3.0_0.0_Sorbitol,3,13.766666666666666,0.0333333333333363,0.0192450089729892,13.73333333333333,13.800000000000004
